source_path,filename,filetype,pm_relevance,size_bytes,modified_date,proposed_action,rationale,target_repo_path,priority,dependencies,notes
"REEVM.ppt","REEVM.ppt","PowerPoint Presentation","Review","193536","May 10 12:31:02 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"QA Environment Set-Up.docx","QA Environment Set-Up.docx","Word Document","Review","56640","May 10 10:22:41 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Proposal Template Value Based Selling Dec 2012.pptx","Proposal Template Value Based Selling Dec 2012.pptx","PowerPoint Presentation","High","316206","May  9 07:40:30 2013","rework-and-include","PM content in presentation format - extract key templates/frameworks","docs/frameworks/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Playbook 5 0_PPD Final.ppt","Playbook 5 0_PPD Final.ppt","PowerPoint Presentation","Review","4211200","May 10 12:25:03 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"PFMgmt_Toolkit_c.ppt","PFMgmt_Toolkit_c.ppt","PowerPoint Presentation","High","3606016","May 10 10:08:01 2013","rework-and-include","PM guide/toolkit - extract reusable templates and processes","docs/guides/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"PEPS_Ramp_Up_Guide.pptx","PEPS_Ramp_Up_Guide.pptx","PowerPoint Presentation","High","1140996","May 10 12:33:05 2013","rework-and-include","PM guide/toolkit - extract reusable templates and processes","docs/guides/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"PEPS_3.2_Product_Scope_Template.xlsx","PEPS_3.2_Product_Scope_Template.xlsx","Excel Spreadsheet","High","33684","May 10 12:33:23 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-planning/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"PEPS_3.2_Method_Scope_Template.xlsx","PEPS_3.2_Method_Scope_Template.xlsx","Excel Spreadsheet","High","59336","May 10 12:33:31 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-planning/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"PEPS_3.2_FTE_Scope_Template.xlsx","PEPS_3.2_FTE_Scope_Template.xlsx","Excel Spreadsheet","High","12685","May 10 12:33:35 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-planning/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"JobAid-HelpDesk Ticket SLA Metrics.xlsx","JobAid-HelpDesk Ticket SLA Metrics.xlsx","Excel Spreadsheet","High","74694","May 10 10:01:11 2013","exclude","Personal/career development content - outside PM tools scope","","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"In Cloud We Trust Whitepaper Final Review.docx","In Cloud We Trust Whitepaper Final Review.docx","Word Document","Medium","230955","May 10 10:02:55 2013","rework-and-include","Potentially useful content - significant adaptation required","templates/universal/specialized/","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"HCP R2.1 Master Project Plan_c.mpp","HCP R2.1 Master Project Plan_c.mpp","Microsoft Project","High","2155520","Jun 10 18:16:26 2011","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","","Very old file - significant updates likely needed"
"Functional_Requirements_Library_Template.xlsx","Functional_Requirements_Library_Template.xlsx","Excel Spreadsheet","High","282058","May 10 12:33:49 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/requirements-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"FinancialTransformation  Diagnostic Tool V1.0.zip","FinancialTransformation  Diagnostic Tool V1.0.zip","Archive","Review","1988655","May 10 10:08:28 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","","Very old file - significant updates likely needed"
"FCoE 6 Operate SAP HANA.pptx","FCoE 6 Operate SAP HANA.pptx","PowerPoint Presentation","Review","938982","May 10 10:04:37 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"EVMforGrowthCompanies.vsd","EVMforGrowthCompanies.vsd","Visio Diagram","Review","1553408","May 10 09:22:41 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Diagram conversion or recreation","Very old file - significant updates likely needed"
"EVMforGrowthCompanies.pdf","EVMforGrowthCompanies.pdf","PDF Document","Review","382823","May 10 09:22:25 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"EVM_KPI_Template.xls","EVM_KPI_Template.xls","Excel Spreadsheet","High","139264","May 10 10:08:17 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/metrics-reporting/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"ECREVM.vsd","ECREVM.vsd","Visio Diagram","Review","355840","May 10 09:23:20 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Diagram conversion or recreation","Very old file - significant updates likely needed"
"ECREVM.ppt","ECREVM.ppt","PowerPoint Presentation","Review","193536","May 10 09:23:27 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"ECREVM.pdf","ECREVM.pdf","PDF Document","Review","243181","May 10 09:23:33 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"CMT_Project Startup Guidebook_v11_05 Nov.docx","CMT_Project Startup Guidebook_v11_05 Nov.docx","Word Document","High","2754701","May 10 10:00:19 2013","rework-and-include","PM guide/toolkit - extract reusable templates and processes","docs/guides/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"closing_checklist_c.ppt","closing_checklist_c.ppt","PowerPoint Presentation","High","492032","May 10 09:12:36 2013","rework-and-include","PM content in presentation format - extract key templates/frameworks","docs/frameworks/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Cleansing Conversion Related Metrics - Data Collection Worksheet.xlsx","Cleansing Conversion Related Metrics - Data Collection Worksheet.xlsx","Excel Spreadsheet","High","19251","May 10 10:01:21 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"CashGenValueMapv2.vsd","CashGenValueMapv2.vsd","Visio Diagram","Review","1069056","May 10 09:20:20 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Diagram conversion or recreation","Very old file - significant updates likely needed"
"CashGenValueMapv2.pdf","CashGenValueMapv2.pdf","PDF Document","Review","354093","May 10 09:20:35 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Content extraction; Format conversion","Very old file - significant updates likely needed"
"Business_Case_C.xls","Business_Case_C.xls","Excel Spreadsheet","High","2676224","May 10 09:21:49 2013","rework-and-include","Business case template - high value for PM workflows","templates/universal/business-case/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Build management with Maven.pptx","Build management with Maven.pptx","PowerPoint Presentation","Medium","1272938","May 10 10:23:53 2013","rework-and-include","Potentially useful content - significant adaptation required","templates/universal/specialized/","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"AMS CP4 Whitepaper on Testing Services final.docx","AMS CP4 Whitepaper on Testing Services final.docx","Word Document","High","216172","May 10 10:12:16 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Accounting Basics.doc","Accounting Basics.doc","Word Document","Low","214016","Jun 27 17:24:59 2008","exclude","Industry/technology-specific content not suitable for generic PM templates","","Medium","Format conversion; Metadata sanitization",""
"10_Detailed Process Flows.vsd","10_Detailed Process Flows.vsd","Visio Diagram","High","335872","May 10 10:21:49 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Diagram conversion or recreation","Very old file - significant updates likely needed"
"7-succeeding.pdf","7-succeeding.pdf","PDF Document","Review","223383","Jan 29 11:19:46 2011","exclude","Personal/career development content - outside PM tools scope","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"6-interviewing.pdf","6-interviewing.pdf","PDF Document","Low","241379","Jan 29 11:19:10 2011","exclude","Personal/career development content - outside PM tools scope","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"06_Release Dashboard.pptx","06_Release Dashboard.pptx","PowerPoint Presentation","High","78600","May 10 10:22:03 2013","rework-and-include","Reporting template - convert to generic template format","templates/universal/status-reporting/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"06 Requirements Matrix.xls","06 Requirements Matrix.xls","Excel Spreadsheet","High","11608","May 10 12:34:22 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/requirements-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"5-executingjobsearch.pdf","5-executingjobsearch.pdf","PDF Document","Review","245127","Jan 29 11:18:35 2011","exclude","Personal/career development content - outside PM tools scope","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"5-3.6 Metric Input Data Gathering Worksheet.xlsx","5-3.6 Metric Input Data Gathering Worksheet.xlsx","Excel Spreadsheet","High","33909","May 10 12:32:00 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"05_Testing and Release Checklist.xlsx","05_Testing and Release Checklist.xlsx","Excel Spreadsheet","High","12770","May 10 10:13:38 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/quality-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"4a-3.6 Package Items Data Gathering Worksheet.xlsm","4a-3.6 Package Items Data Gathering Worksheet.xlsm","Excel Spreadsheet","Review","679416","May 10 12:32:10 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"4-networking.pdf","4-networking.pdf","PDF Document","Low","222523","Jan 29 11:17:31 2011","exclude","Personal/career development content - outside PM tools scope","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"04_Enterprise Release Plan.pptx","04_Enterprise Release Plan.pptx","PowerPoint Presentation","High","126501","May 10 10:22:12 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"04_Code Review Checklist.xlsx","04_Code Review Checklist.xlsx","Excel Spreadsheet","High","29817","May 10 10:13:31 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"3-postioningyourself.pdf","3-postioningyourself.pdf","PDF Document","Review","304963","Jan 29 11:16:47 2011","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Content extraction; Format conversion","Very old file - significant updates likely needed"
"03_Release Planning Template.xlsx","03_Release Planning Template.xlsx","Excel Spreadsheet","High","134375","May 10 10:22:18 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-planning/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"03_Proposal Template SAP Nov 2012_c.pptx","03_Proposal Template SAP Nov 2012_c.pptx","PowerPoint Presentation","High","2012865","May  9 07:41:47 2013","rework-and-include","PM content in presentation format - extract key templates/frameworks","docs/frameworks/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"03_Integrated Work Plan Process_c.ppt","03_Integrated Work Plan Process_c.ppt","PowerPoint Presentation","High","624196","Jun 10 18:20:42 2011","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"03_Development Checklist.xlsx","03_Development Checklist.xlsx","Excel Spreadsheet","High","13184","May 10 10:13:48 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"03_DB2-SQL Server Estimation Model.xlsx","03_DB2-SQL Server Estimation Model.xlsx","Excel Spreadsheet","High","35852","May 10 10:20:49 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"2-understandingthemarketplace.pdf","2-understandingthemarketplace.pdf","PDF Document","Review","197706","Jan 29 11:15:51 2011","exclude","Personal/career development content - outside PM tools scope","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"2-3.6 Method Scope Data Gathering Worksheet.xlsm","2-3.6 Method Scope Data Gathering Worksheet.xlsm","Excel Spreadsheet","High","351852","May 10 12:32:17 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Test Script Checklist.xlsx","02_Test Script Checklist.xlsx","Excel Spreadsheet","High","13433","May 10 10:14:18 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/quality-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Test Data Management.xlsx","02_Test Data Management.xlsx","Excel Spreadsheet","High","21689","May 10 10:17:55 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Technical Specification Checklist.xlsx","02_Technical Specification Checklist.xlsx","Excel Spreadsheet","High","13273","May 10 10:13:54 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Release Planning Cheat Sheet.pptx","02_Release Planning Cheat Sheet.pptx","PowerPoint Presentation","High","76476","May 10 10:22:23 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Proposal Template  - Oracle  - Dec 2012_C.pptx","02_Proposal Template  - Oracle  - Dec 2012_C.pptx","PowerPoint Presentation","High","9487518","May  9 07:41:42 2013","exclude","Large presentation/document - likely contains specific content not suitable for templates","","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"02_Biopharmaceutical_Industry.pdf","02_Biopharmaceutical_Industry.pdf","PDF Document","Low","15026211","Nov 20 09:57:04 2011","exclude","Industry/technology-specific content not suitable for generic PM templates","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"1-selfassessment.pdf","1-selfassessment.pdf","PDF Document","Medium","210351","Jan 29 11:14:31 2011","rework-and-include","Potentially useful content - significant adaptation required","templates/universal/specialized/","Low","Content extraction; Format conversion","Very old file - significant updates likely needed"
"1-3.6 Initial Project set up Questionnaire PEPS 2.3.xlsx","1-3.6 Initial Project set up Questionnaire PEPS 2.3.xlsx","Excel Spreadsheet","High","328407","May 10 12:32:25 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"01_Test Data Management_c.pptx","01_Test Data Management_c.pptx","PowerPoint Presentation","High","1373469","May 10 10:18:01 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"01_Proposal Template TSA ITSM - Dec 2012.pptx","01_Proposal Template TSA ITSM - Dec 2012.pptx","PowerPoint Presentation","High","1717667","May  9 07:42:21 2013","rework-and-include","PM content in presentation format - extract key templates/frameworks","docs/frameworks/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"01_Proposal Template Package Technologies (General Implementation Content) Nov 2012_c.pptx","01_Proposal Template Package Technologies (General Implementation Content) Nov 2012_c.pptx","PowerPoint Presentation","High","6667249","May  9 07:41:34 2013","exclude","Large presentation/document - likely contains specific content not suitable for templates","","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"01_How to write Good Test Scripts_c.docx","01_How to write Good Test Scripts_c.docx","Word Document","High","212622","May 10 10:14:27 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"iMANY CARS 7 5 dictionary.doc","iMANY CARS 7 5 dictionary.doc","Word Document","Review","8486400","Jan 30 11:56:23 2013","exclude","Industry/technology-specific content not suitable for generic PM templates","","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Root Cause Analysis Template.xlsx","Root Cause Analysis Template.xlsx","Excel Spreadsheet","High","12927","Feb 27 13:52:33 2018","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-management/","High","Format conversion; Metadata sanitization",""
"Management_Project Workbook Template_V2.xlsx","Management_Project Workbook Template_V2.xlsx","Excel Spreadsheet","High","699279","Feb 27 13:53:30 2018","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/project-planning/","High","Format conversion; Metadata sanitization",""
"Effective_Bus_Cases.ppt","Effective_Bus_Cases.ppt","PowerPoint Presentation","Review","3555328","Oct 19 12:27:56 2018","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization",""
"Project Kickoff Template.pptx","Project Kickoff Template.pptx","PowerPoint Presentation","High","678015","Mar 29 09:44:53 2016","rework-and-include","PM content in presentation format - extract key templates/frameworks","docs/frameworks/","Medium","Format conversion; Metadata sanitization","Older file - review for currency"
"2017-11-05 22.17.44.png","2017-11-05 22.17.44.png","Image","Review","406577","Jan 17 15:20:30 2019","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","",""
"2017-11-05 22.17.44 2.png","2017-11-05 22.17.44 2.png","Image","Review","406577","Jan 17 15:20:30 2019","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","",""
"Agie Lifecycle.png","Agie Lifecycle.png","Image","Review","104125","Oct 31 10:40:20 2017","rework-and-include","Agile methodology content - extract templates and guides","templates/agile/methodology/","Medium","","Older file - review for currency"
"Agile Methodology.png","Agile Methodology.png","Image","Medium","630034","Oct 31 10:38:10 2017","rework-and-include","Potentially useful content - significant adaptation required","templates/universal/specialized/","Low","","Older file - review for currency"
"create backlog.png","create backlog.png","Image","Review","55252","Oct 31 10:39:43 2017","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","","Older file - review for currency"
"transition.png","transition.png","Image","Review","100780","Oct 31 10:41:02 2017","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","","Older file - review for currency"
"Workbooks - 2018 Fall PDD (for Electronic Note Taking).pdf","Workbooks - 2018 Fall PDD (for Electronic Note Taking).pdf","PDF Document","Review","16706247","Nov  1 17:39:49 2018","exclude","Large presentation/document - likely contains specific content not suitable for templates","","Medium","Content extraction; Format conversion",""
"Sample-Project.mpp","Sample-Project.mpp","Microsoft Project","High","232960","Dec  7 12:16:37 2016","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","","Older file - review for currency"
"Services PMO Status (1).xlsx","Services PMO Status (1).xlsx","Excel Spreadsheet","High","1907027","Oct 31 10:26:58 2017","rework-and-include","Reporting template - convert to generic template format","templates/universal/status-reporting/","Medium","Format conversion; Metadata sanitization","Older file - review for currency"
